start_time,away_team,home_team,away_team_score,home_team_score
2025-01-08 00:00:00+00:00,Team.PHOENIX_SUNS,Team.CHARLOTTE_HORNETS,104.0,115.0
2025-01-08 00:00:00+00:00,Team.HOUSTON_ROCKETS,Team.WASHINGTON_WIZARDS,135.0,112.0
2025-01-08 00:30:00+00:00,Team.LOS_ANGELES_LAKERS,Team.DALLAS_MAVERICKS,97.0,118.0
2025-01-08 01:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.NEW_ORLEANS_PELICANS,104.0,97.0
2025-01-08 02:00:00+00:00,Team.ATLANTA_HAWKS,Team.UTAH_JAZZ,124.0,121.0
2025-01-08 03:00:00+00:00,Team.BOSTON_CELTICS,Team.DENVER_NUGGETS,118.0,106.0
2025-01-08 03:00:00+00:00,Team.MIAMI_HEAT,Team.GOLDEN_STATE_WARRIORS,114.0,98.0
2025-01-09 00:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.CLEVELAND_CAVALIERS,122.0,129.0
2025-01-09 00:00:00+00:00,Team.CHICAGO_BULLS,Team.INDIANA_PACERS,113.0,129.0
2025-01-09 00:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.PHILADELPHIA_76ERS,103.0,109.0
2025-01-09 00:30:00+00:00,Team.DETROIT_PISTONS,Team.BROOKLYN_NETS,113.0,98.0
2025-01-09 00:30:00+00:00,Team.TORONTO_RAPTORS,Team.NEW_YORK_KNICKS,98.0,112.0
2025-01-09 01:00:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.NEW_ORLEANS_PELICANS,119.0,100.0
2025-01-09 02:00:00+00:00,Team.LOS_ANGELES_CLIPPERS,Team.DENVER_NUGGETS,103.0,126.0
2025-01-09 02:30:00+00:00,Team.SAN_ANTONIO_SPURS,Team.MILWAUKEE_BUCKS,105.0,121.0
2025-01-10 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.CLEVELAND_CAVALIERS,126.0,132.0
2025-01-10 00:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.DETROIT_PISTONS,107.0,104.0
2025-01-10 00:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.ORLANDO_MAGIC,104.0,89.0
2025-01-10 00:30:00+00:00,Team.PORTLAND_TRAIL_BLAZERS,Team.DALLAS_MAVERICKS,111.0,117.0
2025-01-10 01:00:00+00:00,Team.HOUSTON_ROCKETS,Team.MEMPHIS_GRIZZLIES,119.0,115.0
2025-01-10 02:00:00+00:00,Team.ATLANTA_HAWKS,Team.PHOENIX_SUNS,115.0,123.0
2025-01-10 02:00:00+00:00,Team.MIAMI_HEAT,Team.UTAH_JAZZ,97.0,92.0
2025-01-11 00:00:00+00:00,Team.GOLDEN_STATE_WARRIORS,Team.INDIANA_PACERS,96.0,108.0
2025-01-11 00:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.ORLANDO_MAGIC,109.0,106.0
2025-01-11 00:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.PHILADELPHIA_76ERS,123.0,115.0
2025-01-11 00:30:00+00:00,Team.SACRAMENTO_KINGS,Team.BOSTON_CELTICS,114.0,97.0
2025-01-11 00:30:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.NEW_YORK_KNICKS,126.0,101.0
2025-01-11 01:00:00+00:00,Team.WASHINGTON_WIZARDS,Team.CHICAGO_BULLS,105.0,138.0
2025-01-11 02:00:00+00:00,Team.BROOKLYN_NETS,Team.DENVER_NUGGETS,105.0,124.0
2025-01-11 22:00:00+00:00,Team.UTAH_JAZZ,Team.PHOENIX_SUNS,106.0,114.0
2025-01-12 00:00:00+00:00,Team.TORONTO_RAPTORS,Team.DETROIT_PISTONS,114.0,123.0
2025-01-12 01:00:00+00:00,Team.MEMPHIS_GRIZZLIES,Team.MINNESOTA_TIMBERWOLVES,127.0,125.0
2025-01-12 03:00:00+00:00,Team.MIAMI_HEAT,Team.PORTLAND_TRAIL_BLAZERS,119.0,98.0
2025-01-12 20:00:00+00:00,Team.DENVER_NUGGETS,Team.DALLAS_MAVERICKS,112.0,101.0
2025-01-12 20:00:00+00:00,Team.MILWAUKEE_BUCKS,Team.NEW_YORK_KNICKS,106.0,140.0
2025-01-12 20:30:00+00:00,Team.SACRAMENTO_KINGS,Team.CHICAGO_BULLS,124.0,119.0
2025-01-12 23:00:00+00:00,Team.NEW_ORLEANS_PELICANS,Team.BOSTON_CELTICS,119.0,120.0
2025-01-12 23:00:00+00:00,Team.INDIANA_PACERS,Team.CLEVELAND_CAVALIERS,108.0,93.0
2025-01-12 23:00:00+00:00,Team.PHILADELPHIA_76ERS,Team.ORLANDO_MAGIC,99.0,104.0
2025-01-12 23:00:00+00:00,Team.OKLAHOMA_CITY_THUNDER,Team.WASHINGTON_WIZARDS,136.0,95.0
2025-01-13 01:00:00+00:00,Team.BROOKLYN_NETS,Team.UTAH_JAZZ,111.0,112.0
2025-01-13 02:00:00+00:00,Team.CHARLOTTE_HORNETS,Team.PHOENIX_SUNS,113.0,120.0
2025-01-14 00:00:00+00:00,Team.MINNESOTA_TIMBERWOLVES,Team.WASHINGTON_WIZARDS,120.0,106.0
2025-01-14 00:30:00+00:00,Team.DETROIT_PISTONS,Team.NEW_YORK_KNICKS,124.0,119.0
